TransactionID,Date,PropertyID,PropertyName,PropertyType,LocationID,Address,City,State,ZipCode,SquareFeet,YearBuilt,SalePrice,AgentID,AgentName
7883,2023-04-01,358,Property_112,Commercial,131,3313 Elm St,San Jose,CA,83957,8690,1965,594372,48,Jennifer Williams
4008,2023-04-01,314,Property_97,Land,105,3883 Maple St,Dallas,TX,59387,9958,1978,416591,47,Robert Williams
7984,2023-04-01,109,Property_2,Land,154,6287 Maple St,San Jose,CA,64077,8688,2001,627291,16,James Brown
4439,2023-04-01,475,Property_333,Residential,106,9704 8th Ave,Philadelphia,PA,64302,9220,1955,713355,94,James Johnson
634,2023-04-01,154,Property_285,Commercial,190,5666 Pine St,Chicago,IL,78492,4232,1901,883200,52,Patricia Garcia
3484,2023-04-01,367,Property_122,Commercial,51,8890 Cedar St,Los Angeles,CA,46227,3613,2004,699764,19,William Miller
4824,2023-04-01,295,Property_190,Land,148,8400 Sunset Blvd,Chicago,IL,19386,9853,1910,831644,71,Linda Smith
9330,2023-04-01,484,Property_291,Commercial,141,9628 Main St,New York,NY,29279,2715,1989,101573,92,Patricia Johnson
7795,2023-04-01,372,Property_408,Land,102,6781 Pine St,Chicago,IL,24031,4311,1918,602254,2,Linda Brown
4045,2023-04-01,167,Property_404,Residential,140,1565 Elm St,Houston,TX,30053,956,1926,827775,58,Linda Johnson
9499,2023-04-01,273,Property_330,Residential,62,1547 Elm St,Chicago,IL,87966,3676,1917,455079,37,Elizabeth Davis
4036,2023-04-01,407,Property_428,Land,19,2750 Pine St,San Diego,CA,71476,8112,1928,195528,95,Elizabeth Davis
5327,2023-04-01,467,Property_211,Residential,5,3499 Elm St,Los Angeles,CA,20988,1945,1977,424358,13,Linda Brown
8395,2023-04-01,78,Property_202,Land,182,1659 Oak St,Houston,TX,77246,7592,2014,637678,96,John Brown
3100,2023-04-01,385,Property_494,Land,182,6339 Main St,San Jose,CA,59088,8885,1918,797307,2,James Smith
9053,2023-04-01,380,Property_440,Land,175,6634 Sunset Blvd,San Antonio,TX,39495,670,1997,242321,31,Robert Miller
389,2023-04-02,31,Property_220,Land,24,2331 Pine St,Chicago,IL,23919,4693,1909,409147,94,William Garcia
57,2023-04-02,111,Property_55,Land,71,2609 Maple St,Houston,TX,10726,9093,1916,593010,75,Mary Davis
1150,2023-04-02,227,Property_85,Residential,130,8805 Maple St,Los Angeles,CA,32497,4310,1915,604522,16,Patricia Miller
8199,2023-04-02,111,Property_207,Commercial,138,372 Sunset Blvd,Chicago,IL,38888,6245,1972,291088,59,Michael Davis
6958,2023-04-02,441,Property_19,Land,26,4035 Oak St,San Antonio,TX,91691,890,2000,872159,56,Michael Davis
3822,2023-04-02,273,Property_432,Residential,105,1300 Cedar St,Phoenix,AZ,53864,2295,1951,581709,6,James Garcia
9887,2023-04-02,262,Property_257,Residential,133,1466 Cedar St,Dallas,TX,64991,6046,1986,974515,89,William Davis
2944,2023-04-02,404,Property_356,Commercial,155,1051 Cedar St,San Antonio,TX,44295,723,2019,499901,1,James Miller
9108,2023-04-02,20,Property_429,Commercial,197,8538 Elm St,Chicago,IL,86141,8126,1978,237076,75,Jennifer Brown
4728,2023-04-02,181,Property_366,Land,91,9043 Maple St,Los Angeles,CA,71090,3306,1905,900502,2,Mary Davis
6332,2023-04-02,446,Property_485,Residential,147,3753 Cedar St,Chicago,IL,22404,2387,1931,687100,3,Robert Jones
9424,2023-04-02,24,Property_428,Commercial,69,3487 8th Ave,Phoenix,AZ,27767,5865,2011,775650,59,Robert Miller
6208,2023-04-02,336,Property_241,Land,180,5036 Elm St,Chicago,IL,71331,2480,2006,139235,84,James Smith
3458,2023-04-02,103,Property_401,Residential,6,3235 Cedar St,Phoenix,AZ,74680,1476,1983,269303,53,William Garcia
1265,2023-04-02,455,Property_374,Land,94,4842 Main St,San Diego,CA,48787,6393,1977,277548,58,Mary Miller
7840,2023-04-02,377,Property_495,Commercial,8,2177 Sunset Blvd,San Jose,CA,43202,9358,1925,934939,36,Patricia Garcia
436,2023-04-02,218,Property_419,Commercial,9,753 Oak St,Chicago,IL,56596,8535,1997,202985,83,Jennifer Johnson
1635,2023-04-02,114,Property_409,Land,25,3652 8th Ave,Philadelphia,PA,64007,708,1942,839963,71,Patricia Smith
1818,2023-04-02,93,Property_308,Residential,132,3386 Pine St,New York,NY,37045,7780,1912,154350,20,John Williams
7513,2023-04-02,387,Property_445,Commercial,85,2938 Elm St,Dallas,TX,58480,596,2005,648135,31,Elizabeth Johnson
8396,2023-04-02,206,Property_90,Residential,75,6080 River Rd,San Antonio,TX,82864,2724,1923,369128,94,Michael Garcia
7478,2023-04-02,374,Property_16,Commercial,2,1367 8th Ave,San Antonio,TX,40447,7415,1901,521440,19,Linda Williams
9270,2023-04-02,176,Property_327,Land,56,2404 Maple St,Phoenix,AZ,21949,9357,2007,143686,23,Elizabeth Johnson
3523,2023-04-02,333,Property_235,Land,32,555 Pine St,Philadelphia,PA,43424,3926,1942,809164,69,William Brown
9280,2023-04-02,276,Property_17,Commercial,113,6668 8th Ave,New York,NY,69523,8411,1992,250302,78,Jennifer Miller
8622,2023-04-02,318,Property_184,Commercial,4,6838 River Rd,Philadelphia,PA,55322,7517,1904,571314,36,Patricia Davis
8804,2023-04-02,468,Property_55,Land,89,5073 8th Ave,Phoenix,AZ,97534,7300,1992,509375,36,Mary Garcia
2417,2023-04-02,202,Property_141,Residential,115,4315 8th Ave,San Jose,CA,82964,5961,2022,579226,45,Patricia Smith
2470,2023-04-02,359,Property_97,Residential,184,4991 Maple St,New York,NY,49133,4802,1904,560045,53,Patricia Brown
1740,2023-04-02,51,Property_447,Commercial,83,5974 River Rd,Philadelphia,PA,69844,7951,1909,983235,81,Linda Garcia
4469,2023-04-02,8,Property_31,Land,195,5961 Elm St,Phoenix,AZ,68909,6949,2022,327468,47,William Smith
844,2023-04-02,486,Property_179,Commercial,67,8855 Maple St,Houston,TX,38148,4543,1932,338526,65,Patricia Jones
2115,2023-04-03,112,Property_354,Commercial,56,3265 Sunset Blvd,Phoenix,AZ,27270,3222,1983,690848,73,Michael Brown
4397,2023-04-03,484,Property_332,Land,196,5545 Sunset Blvd,San Jose,CA,83461,7644,1935,827901,76,William Davis
6624,2023-04-03,38,Property_292,Land,146,6808 Main St,New York,NY,95331,8808,2000,197397,39,Linda Williams
9289,2023-04-03,444,Property_38,Commercial,186,2347 Oak St,San Diego,CA,52406,8761,1980,178372,46,John Miller
6412,2023-04-03,213,Property_398,Land,53,4997 River Rd,Philadelphia,PA,13663,5190,1991,738816,83,Robert Smith
7527,2023-04-03,294,Property_3,Residential,19,1863 Main St,San Jose,CA,60473,1133,1999,114750,97,Robert Johnson
4642,2023-04-03,470,Property_116,Land,31,2143 Maple St,Phoenix,AZ,37006,4155,1900,979363,48,Jennifer Brown
5498,2023-04-03,373,Property_169,Commercial,143,8931 Elm St,San Jose,CA,34650,4255,1928,797191,58,Patricia Smith
1763,2023-04-03,127,Property_26,Land,67,6848 River Rd,Philadelphia,PA,56016,818,1984,645459,97,Michael Garcia
3194,2023-04-03,271,Property_408,Land,138,8138 Pine St,Los Angeles,CA,82998,4024,1991,718002,79,Elizabeth Williams
7695,2023-04-03,470,Property_10,Land,126,8006 River Rd,Houston,TX,80603,7219,1913,676156,70,Linda Johnson
3228,2023-04-03,438,Property_114,Residential,164,1656 Sunset Blvd,Los Angeles,CA,64502,6852,1968,919786,97,James Smith
1902,2023-04-03,2,Property_355,Residential,191,923 8th Ave,Philadelphia,PA,27985,3588,1938,832531,8,William Garcia
4600,2023-04-03,474,Property_281,Residential,182,2532 Cedar St,San Jose,CA,59827,1117,1951,199664,7,John Davis
837,2023-04-03,441,Property_331,Residential,58,7384 8th Ave,Philadelphia,PA,34067,5870,1966,736845,13,Linda Davis
1978,2023-04-03,76,Property_360,Residential,100,5105 Maple St,Los Angeles,CA,24332,7186,1995,719428,62,Patricia Miller
3332,2023-04-03,8,Property_215,Residential,135,2334 Main St,Chicago,IL,67045,3376,1962,225830,81,John Smith
4907,2023-04-03,164,Property_227,Residential,54,1547 8th Ave,Dallas,TX,82682,6190,1919,569515,80,Elizabeth Brown
7961,2023-04-03,387,Property_52,Commercial,44,5248 Pine St,New York,NY,41930,4374,1914,891104,97,Linda Smith
7975,2023-04-03,441,Property_205,Commercial,163,949 2nd St,San Antonio,TX,15634,2003,1936,582707,85,Michael Johnson
6122,2023-04-03,48,Property_477,Residential,29,7347 Pine St,San Diego,CA,96243,4641,1921,166322,82,Robert Brown
7086,2023-04-03,381,Property_346,Residential,122,523 Main St,New York,NY,18870,3662,2009,189655,6,Robert Williams
5998,2023-04-03,98,Property_276,Residential,161,5347 Main St,San Antonio,TX,53824,2915,2013,668641,32,Jennifer Brown
5000,2023-04-03,408,Property_300,Residential,154,7476 Cedar St,Phoenix,AZ,63973,7675,1957,667505,51,Robert Johnson
9013,2023-04-03,216,Property_447,Land,119,7140 2nd St,San Jose,CA,40068,867,1989,530702,60,Linda Brown
8571,2023-04-03,268,Property_485,Land,194,1168 Pine St,New York,NY,14409,3793,1989,820632,99,John Johnson
3992,2023-04-03,432,Property_96,Residential,64,4720 Main St,Los Angeles,CA,13428,3247,1935,448799,18,Robert Miller
8992,2023-04-03,248,Property_240,Land,165,4446 River Rd,Phoenix,AZ,29133,7380,1994,733959,65,Robert Garcia
8778,2023-04-03,193,Property_449,Commercial,96,7240 8th Ave,Dallas,TX,14300,6306,1926,969732,34,Linda Johnson
529,2023-04-03,444,Property_146,Land,80,9794 Elm St,Los Angeles,CA,88758,3727,2006,839996,56,Robert Garcia
9207,2023-04-03,168,Property_481,Residential,81,6823 Pine St,Dallas,TX,34587,4586,1942,812535,39,Patricia Smith
4026,2023-04-03,152,Property_179,Land,119,9353 Cedar St,San Antonio,TX,85956,7989,2020,420029,64,James Smith
3933,2023-04-03,310,Property_63,Land,22,1596 River Rd,Philadelphia,PA,98664,3970,2014,271869,76,Jennifer Johnson
8512,2023-04-04,159,Property_75,Land,99,5618 Cedar St,Houston,TX,90388,6966,2003,635712,81,Michael Johnson
3983,2023-04-04,413,Property_7,Residential,151,8526 2nd St,San Diego,CA,70618,5857,1990,569940,42,Michael Brown
973,2023-04-04,89,Property_429,Commercial,19,8076 Main St,Dallas,TX,26415,9545,1901,567197,22,Jennifer Garcia
8473,2023-04-04,241,Property_38,Land,141,7641 Sunset Blvd,Philadelphia,PA,14233,8900,1984,294677,85,Linda Miller
5368,2023-04-04,398,Property_18,Land,17,3501 Oak St,Phoenix,AZ,77680,7310,1978,206791,54,William Miller
4564,2023-04-04,434,Property_229,Land,105,4076 Maple St,Los Angeles,CA,40968,5688,1974,523775,11,Robert Miller
8393,2023-04-04,259,Property_84,Residential,115,2629 Main St,San Jose,CA,20011,7915,1977,666080,65,John Johnson
5164,2023-04-04,333,Property_188,Land,34,8359 River Rd,Philadelphia,PA,21454,9267,2013,367528,86,Mary Smith
4031,2023-04-04,116,Property_338,Residential,11,6066 8th Ave,Los Angeles,CA,25168,1945,1941,225756,24,Linda Garcia
9341,2023-04-04,180,Property_236,Commercial,40,6819 Elm St,New York,NY,59145,9337,1971,561086,44,Linda Williams
472,2023-04-04,337,Property_218,Residential,33,8112 Oak St,Dallas,TX,90665,4850,1919,225845,32,Linda Brown
4923,2023-04-04,332,Property_322,Residential,171,3256 8th Ave,San Jose,CA,91293,5415,2007,580783,42,Mary Brown
7964,2023-04-04,370,Property_489,Land,184,5903 Maple St,San Diego,CA,17377,4456,1905,179221,78,Jennifer Williams
9439,2023-04-04,141,Property_201,Commercial,100,844 River Rd,Phoenix,AZ,35196,6659,1973,491035,40,James Davis
4750,2023-04-04,31,Property_446,Residential,184,1749 Oak St,Houston,TX,33386,7185,2011,837131,98,William Miller
5168,2023-04-04,228,Property_30,Commercial,151,1533 Elm St,Philadelphia,PA,35829,1033,1934,942014,13,Linda Williams
3729,2023-04-04,188,Property_133,Commercial,154,3572 Elm St,Houston,TX,46032,7827,1998,319247,96,William Smith
5553,2023-04-04,194,Property_28,Residential,141,2019 Sunset Blvd,San Antonio,TX,64337,585,1901,613301,10,John Miller
9208,2023-04-04,337,Property_145,Commercial,38,1479 River Rd,San Diego,CA,81535,1276,1940,477509,10,Patricia Miller
6623,2023-04-04,359,Property_496,Land,195,8197 Sunset Blvd,San Antonio,TX,90837,1443,1915,775145,19,John Williams
6223,2023-04-04,77,Property_329,Residential,180,9065 Maple St,San Jose,CA,15014,5388,1918,833439,58,John Smith
6920,2023-04-04,277,Property_248,Residential,159,5930 Elm St,San Diego,CA,95332,8573,1952,411454,32,Jennifer Jones
1019,2023-04-04,493,Property_128,Residential,155,5713 Elm St,San Diego,CA,34817,3207,1932,652496,39,Patricia Garcia
9818,2023-04-04,331,Property_353,Land,148,8639 Sunset Blvd,Chicago,IL,99927,2287,2002,805501,95,Patricia Johnson
9890,2023-04-04,375,Property_58,Commercial,37,7432 Sunset Blvd,Phoenix,AZ,44540,2774,2005,589317,40,William Johnson
4426,2023-04-04,69,Property_112,Commercial,126,3535 Oak St,Houston,TX,15125,5151,2006,596697,41,Linda Jones
2650,2023-04-05,365,Property_418,Land,116,3254 Main St,Phoenix,AZ,52248,986,1942,578883,19,Jennifer Miller
6418,2023-04-05,363,Property_333,Residential,130,9571 Maple St,Philadelphia,PA,54374,7976,2009,236738,66,Jennifer Smith
6577,2023-04-05,169,Property_239,Commercial,145,8097 Main St,Chicago,IL,75016,9085,1964,246213,3,James Johnson
1020,2023-04-05,121,Property_255,Land,109,2231 Oak St,Phoenix,AZ,78426,2603,1993,208953,82,Mary Garcia
2399,2023-04-05,108,Property_279,Commercial,118,8094 Oak St,San Diego,CA,94403,8443,1927,910488,10,Elizabeth Garcia
764,2023-04-05,181,Property_173,Residential,200,4784 Oak St,San Diego,CA,17482,7470,1960,348361,35,Jennifer Williams
5679,2023-04-05,240,Property_498,Land,139,4687 Main St,New York,NY,39796,2640,1919,961019,15,Elizabeth Smith
4965,2023-04-05,271,Property_366,Residential,23,1269 Elm St,San Jose,CA,31654,1290,2020,413739,9,James Johnson
6116,2023-04-05,308,Property_457,Commercial,56,666 Main St,Los Angeles,CA,80288,5033,2009,218110,11,John Jones
5084,2023-04-05,101,Property_158,Commercial,12,2020 Elm St,San Jose,CA,47339,7071,2009,603659,7,Jennifer Garcia
6085,2023-04-05,276,Property_394,Land,56,4629 Pine St,Philadelphia,PA,27098,9509,2007,491640,13,Patricia Smith
343,2023-04-05,472,Property_343,Commercial,119,386 Elm St,Philadelphia,PA,36965,1996,1968,525812,82,Michael Davis
7507,2023-04-05,135,Property_86,Commercial,95,2097 Maple St,Phoenix,AZ,20810,835,1905,927024,18,Elizabeth Garcia
8733,2023-04-05,363,Property_355,Residential,197,3051 Elm St,San Jose,CA,11678,2473,1921,337590,41,Jennifer Brown
5866,2023-04-05,282,Property_497,Residential,153,6983 Cedar St,San Diego,CA,63721,1202,1976,168401,73,Jennifer Williams
1114,2023-04-05,146,Property_346,Residential,39,4647 Main St,Houston,TX,68977,3827,1911,133012,40,John Davis
5710,2023-04-05,376,Property_87,Commercial,162,2526 River Rd,San Jose,CA,60214,5816,1923,585794,26,John Davis
5688,2023-04-05,116,Property_442,Land,134,3787 Sunset Blvd,New York,NY,30131,9475,2011,496169,74,Robert Johnson
954,2023-04-05,179,Property_216,Land,11,6701 Elm St,San Jose,CA,32444,2277,2021,739894,66,Mary Johnson
828,2023-04-05,449,Property_443,Land,178,7423 Oak St,Phoenix,AZ,28077,4148,1962,513140,60,Patricia Smith
520,2023-04-05,440,Property_82,Residential,78,4252 Elm St,San Antonio,TX,50946,2262,1903,909097,35,Patricia Garcia
1799,2023-04-05,358,Property_136,Commercial,4,9318 2nd St,Philadelphia,PA,35333,2106,2003,376541,75,Jennifer Garcia
4248,2023-04-05,110,Property_157,Residential,23,7831 Pine St,San Diego,CA,99297,9731,2016,594992,23,John Brown
2416,2023-04-06,29,Property_443,Land,90,9237 Sunset Blvd,Chicago,IL,58773,7963,1997,188924,62,Mary Miller
1919,2023-04-06,138,Property_254,Residential,167,2034 Sunset Blvd,San Antonio,TX,84294,3913,1981,363248,7,James Williams
