TransactionID,Date,PropertyID,PropertyName,PropertyType,LocationID,Address,City,State,ZipCode,SquareFeet,YearBuilt,SalePrice,AgentID,AgentName
8556,2023-03-01,324,Property_444,Residential,32,7674 Pine St,San Antonio,TX,75527,3669,1937,686894,59,Linda Garcia
263,2023-03-01,344,Property_374,Residential,16,8650 Elm St,San Jose,CA,30220,759,1924,510780,64,John Johnson
1032,2023-03-01,37,Property_328,Land,172,3628 Cedar St,Dallas,TX,53675,6691,1982,489227,35,Jennifer Miller
5416,2023-03-01,132,Property_239,Land,103,7606 River Rd,Houston,TX,94714,634,1993,475161,97,Linda Johnson
2429,2023-03-01,353,Property_199,Land,9,6126 Main St,Philadelphia,PA,79161,7916,1972,242333,86,Michael Jones
1689,2023-03-01,399,Property_67,Commercial,86,5160 Maple St,Houston,TX,68952,5032,2014,481062,78,William Williams
414,2023-03-01,167,Property_222,Commercial,156,4452 Cedar St,Phoenix,AZ,99739,5003,1989,714667,33,Jennifer Johnson
5776,2023-03-01,47,Property_285,Commercial,100,7964 Oak St,Los Angeles,CA,97593,9716,2022,644983,41,Linda Brown
2521,2023-03-01,437,Property_190,Commercial,176,1556 Elm St,Chicago,IL,59767,3932,2005,802097,5,James Jones
3030,2023-03-01,49,Property_335,Residential,166,1157 Oak St,Phoenix,AZ,69657,2046,1945,179021,29,Mary Brown
2745,2023-03-01,239,Property_283,Commercial,175,7000 Cedar St,San Diego,CA,55105,3907,1982,477478,81,Patricia Smith
1761,2023-03-01,439,Property_174,Residential,77,5999 River Rd,San Antonio,TX,95189,8930,1993,936544,88,John Jones
2222,2023-03-01,380,Property_397,Land,163,5090 Elm St,Dallas,TX,86069,3482,1917,996707,79,Mary Miller
9579,2023-03-01,368,Property_174,Residential,44,7982 Main St,San Jose,CA,45437,4747,1911,381489,75,Mary Smith
5003,2023-03-01,74,Property_62,Commercial,160,8945 Maple St,San Diego,CA,36590,9759,1920,374344,31,Elizabeth Garcia
4696,2023-03-01,57,Property_63,Residential,169,7538 Oak St,Los Angeles,CA,69741,6740,1903,731400,61,William Miller
6440,2023-03-01,346,Property_493,Commercial,47,8485 2nd St,Los Angeles,CA,32568,7702,2004,631460,80,Michael Jones
5489,2023-03-01,79,Property_434,Land,139,9192 2nd St,New York,NY,45055,9735,1944,160619,66,Linda Miller
2896,2023-03-02,277,Property_265,Residential,10,5059 Oak St,San Antonio,TX,58338,6733,1979,713624,45,Elizabeth Johnson
4482,2023-03-02,219,Property_438,Land,61,9299 Pine St,Dallas,TX,79424,5724,1989,517360,68,Michael Johnson
9447,2023-03-02,279,Property_80,Land,123,9185 Maple St,Houston,TX,70750,6005,2009,241504,69,Robert Johnson
9269,2023-03-02,372,Property_282,Residential,150,7869 Pine St,Los Angeles,CA,90540,3926,2004,343219,55,Michael Johnson
4860,2023-03-02,10,Property_366,Land,106,1078 Main St,Chicago,IL,42868,8427,1981,427493,75,William Davis
5342,2023-03-02,41,Property_143,Land,10,8619 Pine St,San Diego,CA,74457,6102,2000,687076,81,Linda Miller
4772,2023-03-02,485,Property_458,Commercial,200,4378 Elm St,San Diego,CA,17579,9901,2011,752966,95,William Johnson
6854,2023-03-02,166,Property_238,Residential,80,909 Sunset Blvd,Dallas,TX,88804,7690,2012,278474,22,James Garcia
4855,2023-03-02,209,Property_128,Commercial,190,9059 Sunset Blvd,Philadelphia,PA,25966,7277,1925,932036,7,John Williams
4825,2023-03-02,118,Property_125,Land,85,7405 Sunset Blvd,San Diego,CA,54319,625,2002,908298,34,Linda Williams
6769,2023-03-02,98,Property_423,Commercial,156,419 Cedar St,San Antonio,TX,78706,6722,2003,960305,27,James Smith
3609,2023-03-02,109,Property_383,Commercial,133,2360 Pine St,Phoenix,AZ,28079,4484,1998,961180,13,James Davis
7375,2023-03-02,247,Property_356,Commercial,2,450 Elm St,Dallas,TX,78182,6656,1913,280703,33,Patricia Jones
9923,2023-03-02,480,Property_75,Residential,153,9235 Elm St,San Jose,CA,45116,2749,2021,669051,80,William Jones
839,2023-03-02,142,Property_269,Residential,78,9151 Main St,San Jose,CA,23088,5855,1940,806377,72,Linda Williams
3221,2023-03-02,269,Property_412,Residential,40,3768 Maple St,New York,NY,10005,6052,2010,855977,10,Michael Garcia
1412,2023-03-02,317,Property_27,Land,172,2937 Maple St,San Antonio,TX,14766,8427,1980,806830,75,William Williams
2789,2023-03-02,223,Property_323,Land,42,9627 Sunset Blvd,San Antonio,TX,32044,5483,1948,827756,42,William Johnson
4419,2023-03-02,255,Property_41,Commercial,182,8954 Pine St,Chicago,IL,15536,1301,1943,378473,59,Patricia Davis
1572,2023-03-02,320,Property_480,Commercial,99,6774 2nd St,Los Angeles,CA,36999,2748,1904,938822,94,William Garcia
2895,2023-03-02,57,Property_182,Land,56,6854 2nd St,New York,NY,89700,7744,1997,153093,47,William Brown
1533,2023-03-02,353,Property_119,Commercial,143,6539 Cedar St,New York,NY,25796,5763,1915,995406,4,James Davis
4516,2023-03-02,477,Property_73,Residential,105,2899 Oak St,Dallas,TX,13814,7010,1977,940881,45,William Brown
871,2023-03-02,387,Property_402,Residential,191,8625 Cedar St,Philadelphia,PA,14666,1124,1950,800137,46,Linda Garcia
3918,2023-03-02,397,Property_58,Commercial,168,172 Main St,Houston,TX,79744,617,1987,909266,80,Linda Johnson
9252,2023-03-02,155,Property_191,Commercial,119,1824 Pine St,Chicago,IL,51021,6754,1981,587112,75,John Davis
4624,2023-03-03,411,Property_225,Land,136,3924 Sunset Blvd,New York,NY,25745,5739,2017,596521,61,Robert Brown
7455,2023-03-03,404,Property_220,Land,172,6364 8th Ave,Philadelphia,PA,20877,7088,1935,855686,78,Mary Miller
2466,2023-03-03,386,Property_282,Land,154,2222 Main St,Houston,TX,29513,4506,1942,595028,6,James Johnson
8222,2023-03-03,62,Property_465,Land,3,6037 Pine St,Philadelphia,PA,17619,6192,1938,524517,23,Elizabeth Williams
8167,2023-03-03,437,Property_136,Land,30,3162 Cedar St,Los Angeles,CA,77136,6317,1935,856329,26,William Jones
4766,2023-03-03,4,Property_114,Land,152,2171 Maple St,San Jose,CA,20935,7996,1949,122911,11,Mary Miller
3163,2023-03-03,186,Property_197,Residential,95,9708 River Rd,San Jose,CA,35812,8318,1922,609613,13,John Miller
974,2023-03-03,303,Property_448,Commercial,140,9593 8th Ave,San Diego,CA,18733,4770,1933,685888,87,James Garcia
4737,2023-03-03,16,Property_256,Residential,87,2538 Oak St,San Jose,CA,32939,1178,1994,698463,52,Patricia Johnson
117,2023-03-03,319,Property_116,Land,3,9489 8th Ave,Houston,TX,16207,2860,1993,239153,46,Mary Miller
4694,2023-03-03,487,Property_109,Land,56,8958 Elm St,Chicago,IL,22203,4486,1937,908365,73,Patricia Davis
1048,2023-03-03,482,Property_278,Commercial,147,1722 8th Ave,San Jose,CA,80864,8920,1937,297439,12,Mary Williams
8186,2023-03-03,343,Property_425,Residential,94,9679 Pine St,San Jose,CA,14302,2644,1919,883526,12,John Davis
6740,2023-03-03,435,Property_19,Land,43,6597 Main St,New York,NY,62793,4510,2020,563310,21,Robert Miller
7563,2023-03-03,298,Property_46,Commercial,118,9631 2nd St,San Diego,CA,99627,8405,1971,499998,55,James Miller
1540,2023-03-03,18,Property_56,Residential,7,7806 Sunset Blvd,Houston,TX,16864,9587,1990,977646,29,James Miller
4703,2023-03-03,342,Property_432,Residential,95,9904 Elm St,Philadelphia,PA,87234,2392,1973,275961,75,Robert Williams
7490,2023-03-03,440,Property_165,Land,154,1337 Sunset Blvd,Philadelphia,PA,82119,1389,1997,910267,27,William Davis
2476,2023-03-03,47,Property_249,Land,39,6165 8th Ave,San Jose,CA,40941,9574,1962,385918,68,William Davis
1575,2023-03-03,206,Property_364,Commercial,170,8856 Elm St,Dallas,TX,88830,1372,1957,608716,3,Elizabeth Williams
4304,2023-03-03,195,Property_288,Commercial,169,4660 Elm St,Chicago,IL,46295,2827,1952,718710,13,James Garcia
9000,2023-03-03,476,Property_198,Residential,12,1053 Main St,San Antonio,TX,39851,8990,1936,622042,79,William Johnson
9588,2023-03-03,282,Property_302,Commercial,127,6148 River Rd,Phoenix,AZ,23817,1611,2017,471125,40,Linda Johnson
3923,2023-03-03,414,Property_447,Land,180,7548 Maple St,San Diego,CA,18889,1505,1977,237824,54,James Davis
